DAY,S02
5-Oct-20,5
6-Oct-20,6
7-Oct-20,6
8-Oct-20,6
9-Oct-20,6
10-Oct-20,5
11-Oct-20,5
12-Oct-20,6
13-Oct-20,6
14-Oct-20,7
15-Oct-20,7
16-Oct-20,6
17-Oct-20,7
18-Oct-20,6
19-Oct-20,5
20-Oct-20,4
21-Oct-20,4
22-Oct-20,5
23-Oct-20,7
24-Oct-20,8
25-Oct-20,7
26-Oct-20,7
27-Oct-20,8
28-Oct-20,6
29-Oct-20,6
30-Oct-20,7
31-Oct-20,6
1-Nov-20,6
2-Nov-20,7
3-Nov-20,8
4-Nov-20,6
5-Nov-20,5
6-Nov-20,5
7-Nov-20,4
8-Nov-20,5
9-Nov-20,5
10-Nov-20,5
11-Nov-20,5
12-Nov-20,5
13-Nov-20,6
14-Nov-20,6
15-Nov-20,5
16-Nov-20,7
17-Nov-20,6
18-Nov-20,5
19-Nov-20,6
20-Nov-20,6
21-Nov-20,5
22-Nov-20,5
23-Nov-20,6
24-Nov-20,7
25-Nov-20,6
26-Nov-20,6
27-Nov-20,8
28-Nov-20,9
29-Nov-20,7
30-Nov-20,7
1-Dec-20,7
2-Dec-20,6
3-Dec-20,6
4-Dec-20,7
5-Dec-20,7
6-Dec-20,7
7-Dec-20,8
8-Dec-20,9
9-Dec-20,7
10-Dec-20,8
11-Dec-20,8
12-Dec-20,9
13-Dec-20,8
14-Dec-20,8
15-Dec-20,7
16-Dec-20,6
17-Dec-20,7
18-Dec-20,7
19-Dec-20,6
20-Dec-20,7
21-Dec-20,6
22-Dec-20,6
23-Dec-20,9
24-Dec-20,10
25-Dec-20,8
26-Dec-20,8
27-Dec-20,7
28-Dec-20,9
29-Dec-20,8
30-Dec-20,8
31-Dec-20,8
1-Jan-21,9
2-Jan-21,8
3-Jan-21,7
4-Jan-21,8
5-Jan-21,10
6-Jan-21,9
7-Jan-21,9
8-Jan-21,9
9-Jan-21,9
10-Jan-21,9
11-Jan-21,9
12-Jan-21,9
13-Jan-21,11
14-Jan-21,10
15-Jan-21,9
16-Jan-21,10
17-Jan-21,11
18-Jan-21,10
19-Jan-21,7
20-Jan-21,6
21-Jan-21,5
22-Jan-21,4
23-Jan-21,2
24-Jan-21,3
25-Jan-21,4
26-Jan-21,3
27-Jan-21,4
28-Jan-21,5
29-Jan-21,6
30-Jan-21,6
31-Jan-21,4
1-Feb-21,3
2-Feb-21,4
3-Feb-21,5
4-Feb-21,4
5-Feb-21,4
6-Feb-21,4
7-Feb-21,4
8-Feb-21,4
9-Feb-21,4
10-Feb-21,4
11-Feb-21,4
12-Feb-21,5
13-Feb-21,3
14-Feb-21,4
15-Feb-21,4
16-Feb-21,4
17-Feb-21,6
18-Feb-21,8
19-Feb-21,7
20-Feb-21,6
21-Feb-21,3
22-Feb-21,4
23-Feb-21,7
24-Feb-21,5
25-Feb-21,2
26-Feb-21,2
27-Feb-21,5
28-Feb-21,3
1-Mar-21,3
2-Mar-21,2
3-Mar-21,3
4-Mar-21,8
5-Mar-21,6
6-Mar-21,5
7-Mar-21,3
8-Mar-21,4
9-Mar-21,4
10-Mar-21,7
11-Mar-21,4
12-Mar-21,4
13-Mar-21,6
14-Mar-21,5
15-Mar-21,5
16-Mar-21,4
17-Mar-21,6
18-Mar-21,5
19-Mar-21,5
20-Mar-21,4
21-Mar-21,4
22-Mar-21,5
23-Mar-21,4
24-Mar-21,4
25-Mar-21,3
26-Mar-21,6
27-Mar-21,4
28-Mar-21,4
29-Mar-21,4
30-Mar-21,3
31-Mar-21,3
1-Apr-21,4
2-Apr-21,7
3-Apr-21,4
4-Apr-21,4
5-Apr-21,4
6-Apr-21,5
7-Apr-21,5
8-Apr-21,4
9-Apr-21,3
10-Apr-21,3
11-Apr-21,4
12-Apr-21,4
13-Apr-21,6
14-Apr-21,5
15-Apr-21,5
16-Apr-21,3
17-Apr-21,3
18-Apr-21,4
19-Apr-21,5
20-Apr-21,4
21-Apr-21,5
22-Apr-21,5
23-Apr-21,4
24-Apr-21,3
25-Apr-21,3
26-Apr-21,4
27-Apr-21,6
28-Apr-21,5
29-Apr-21,5
30-Apr-21,6
1-May-21,8
2-May-21,6
3-May-21,6
4-May-21,4
5-May-21,6
6-May-21,6
7-May-21,6
8-May-21,7
9-May-21,3
10-May-21,3
11-May-21,4
12-May-21,6
13-May-21,7
14-May-21,6
15-May-21,6
16-May-21,6
17-May-21,6
18-May-21,6
19-May-21,6
20-May-21,6
21-May-21,5
22-May-21,5
23-May-21,6
24-May-21,7
25-May-21,8
26-May-21,8
27-May-21,9
28-May-21,9
29-May-21,7
30-May-21,8
31-May-21,9
1-Jun-21,8
2-Jun-21,7
3-Jun-21,9
4-Jun-21,7
5-Jun-21,7
6-Jun-21,9
7-Jun-21,10
8-Jun-21,8
9-Jun-21,7
10-Jun-21,9
11-Jun-21,9
12-Jun-21,8
13-Jun-21,8
14-Jun-21,8
15-Jun-21,8
16-Jun-21,9
17-Jun-21,10
18-Jun-21,10
19-Jun-21,9
20-Jun-21,9
21-Jun-21,9
22-Jun-21,9
23-Jun-21,10
24-Jun-21,9
25-Jun-21,9
26-Jun-21,10
27-Jun-21,8
28-Jun-21,7
29-Jun-21,8
30-Jun-21,9
1-Jul-21,10
2-Jul-21,11
3-Jul-21,9
4-Jul-21,8
5-Jul-21,9
6-Jul-21,9
7-Jul-21,9
8-Jul-21,7
9-Jul-21,7
10-Jul-21,8
11-Jul-21,8
12-Jul-21,9
13-Jul-21,5
14-Jul-21,2
15-Jul-21,2
16-Jul-21,3
17-Jul-21,3
18-Jul-21,3
19-Jul-21,3
20-Jul-21,3
21-Jul-21,2
22-Jul-21,2
23-Jul-21,2
24-Jul-21,2
25-Jul-21,2
26-Jul-21,2
27-Jul-21,2
28-Jul-21,2
29-Jul-21,3
30-Jul-21,5
31-Jul-21,5
1-Aug-21,4
2-Aug-21,5
3-Aug-21,5
4-Aug-21,6
5-Aug-21,6
6-Aug-21,5
7-Aug-21,3
8-Aug-21,3
9-Aug-21,3
10-Aug-21,5
11-Aug-21,6
12-Aug-21,4
13-Aug-21,4
14-Aug-21,4
15-Aug-21,4
16-Aug-21,4
17-Aug-21,6
18-Aug-21,5
19-Aug-21,4
20-Aug-21,4
21-Aug-21,4
22-Aug-21,4
23-Aug-21,5
24-Aug-21,4
25-Aug-21,6
26-Aug-21,6
27-Aug-21,6
28-Aug-21,6
29-Aug-21,6
30-Aug-21,7
31-Aug-21,6
1-Sep-21,6
2-Sep-21,5
3-Sep-21,5
4-Sep-21,4
5-Sep-21,5
6-Sep-21,4
7-Sep-21,4
8-Sep-21,4
9-Sep-21,5
10-Sep-21,5
11-Sep-21,5
12-Sep-21,7
13-Sep-21,7
14-Sep-21,7
15-Sep-21,6
16-Sep-21,8
17-Sep-21,8
18-Sep-21,7
19-Sep-21,8
20-Sep-21,7
21-Sep-21,7
22-Sep-21,6
23-Sep-21,5
24-Sep-21,9
25-Sep-21,8
26-Sep-21,8
27-Sep-21,10
28-Sep-21,7
29-Sep-21,5
30-Sep-21,4
1-Oct-21,4
2-Oct-21,4
3-Oct-21,5
4-Oct-21,5
5-Oct-21,7
6-Oct-21,5
7-Oct-21,5
8-Oct-21,6
9-Oct-21,6
10-Oct-21,5
11-Oct-21,6
12-Oct-21,8
13-Oct-21,8
14-Oct-21,5
15-Oct-21,4
16-Oct-21,6
17-Oct-21,4
18-Oct-21,3
19-Oct-21,3
20-Oct-21,4
21-Oct-21,8
22-Oct-21,8
23-Oct-21,8
24-Oct-21,6
25-Oct-21,5
26-Oct-21,5
27-Oct-21,6
28-Oct-21,5
29-Oct-21,5
30-Oct-21,6
31-Oct-21,6
1-Nov-21,8
2-Nov-21,7
3-Nov-21,8
4-Nov-21,8
5-Nov-21,8
6-Nov-21,8
7-Nov-21,8
8-Nov-21,8
9-Nov-21,7
10-Nov-21,5
