DAY,BaP,As,Cd,Ni,Pb
6-Jan-21,0.046,1.08,0.2,1,12
7-Jan-21,0,0,0,0,0
8-Jan-21,0,0,0,0,0
9-Jan-21,0,0.1,0.23,0.2,0.1
10-Jan-21,0,0,0,0,0
11-Jan-21,0,0,0,0,0
12-Jan-21,0,0,0,0,0
13-Jan-21,0,0,0,0,0
14-Jan-21,0,0,0,0,0
15-Jan-21,0.254,0.1,0.23,3,0.1
16-Jan-21,0,0,0,0,0
17-Jan-21,0,0,0,0,0
18-Jan-21,0,0,0,0,0
19-Jan-21,0,0,0,0,0
20-Jan-21,0,0,0,0,0
21-Jan-21,0,0.1,0.23,0.2,10.6
22-Jan-21,0,0,0,0,0
23-Jan-21,0,0,0,0,0
24-Jan-21,0,0,0,0,0
25-Jan-21,0,0,0,0,0
26-Jan-21,0,0,0,0,0
27-Jan-21,0.165,0.1,0.19,2.4,0.1
28-Jan-21,0,0,0,0,0
29-Jan-21,0,0,0,0,0
30-Jan-21,0,0,0,0,0
31-Jan-21,0,0,0,0,0
1-Feb-21,0,0,0,0,0
2-Feb-21,0,0.1,0.19,0.2,0.1
3-Feb-21,0,0,0,0,0
4-Feb-21,0,0,0,0,0
5-Feb-21,0,0,0,0,0
6-Feb-21,0,0,0,0,0
7-Feb-21,0,0,0,0,0
8-Feb-21,0.024,0.1,0.21,0.2,14
9-Feb-21,0,0,0,0,0
10-Feb-21,0,0,0,0,0
11-Feb-21,0,0,0,0,0
12-Feb-21,0,0,0,0,0
13-Feb-21,0,0,0,0,0
14-Feb-21,0,0.1,0.18,1.8,0.1
15-Feb-21,0,0,0,0,0
16-Feb-21,0,0,0,0,0
17-Feb-21,0,0,0,0,0
18-Feb-21,0,0,0,0,0
19-Feb-21,0,0,0,0,0
20-Feb-21,0.085,0.1,0.15,0.2,12.6
21-Feb-21,0,0,0,0,0
22-Feb-21,0,0,0,0,0
23-Feb-21,0,0,0,0,0
24-Feb-21,0,0,0,0,0
25-Feb-21,0,0,0,0,0
26-Feb-21,0,0.1,0.19,2.5,0.1
27-Feb-21,0,0,0,0,0
28-Feb-21,0,0,0,0,0
1-Mar-21,0,0,0,0,0
2-Mar-21,0,0,0,0,0
3-Mar-21,0,0,0,0,0
4-Mar-21,0,0,0,0,0
5-Mar-21,0.001,0.1,0.17,1.1,0.1
6-Mar-21,0,0,0,0,0
7-Mar-21,0,0,0,0,0
8-Mar-21,0,0,0,0,0
9-Mar-21,0,0,0,0,0
10-Mar-21,0,0,0,0,0
11-Mar-21,0,0,0,0,0
12-Mar-21,0,0.1,0.17,0.2,14.1
13-Mar-21,0,0,0,0,0
14-Mar-21,0,0,0,0,0
15-Mar-21,0,0,0,0,0
16-Mar-21,0,0,0,0,0
17-Mar-21,0,0,0,0,0
18-Mar-21,0.019,0.1,0.16,0.2,0.1
19-Mar-21,0,0,0,0,0
20-Mar-21,0,0,0,0,0
21-Mar-21,0,0,0,0,0
22-Mar-21,0,0,0,0,0
23-Mar-21,0,0,0,0,0
24-Mar-21,0,0.1,0.23,2.5,0.1
25-Mar-21,0,0,0,0,0
26-Mar-21,0,0,0,0,0
27-Mar-21,0,0,0,0,0
28-Mar-21,0,0,0,0,0
29-Mar-21,0,0,0,0,0
30-Mar-21,0.029,0.1,0.17,3.9,0.1
31-Mar-21,0,0,0,0,0
1-Apr-21,0,0,0,0,0
2-Apr-21,0,0,0,0,0
3-Apr-21,0,0,0,0,0
4-Apr-21,0,0,0,0,0
5-Apr-21,0,0.1,0.17,0.2,0.1
6-Apr-21,0,0,0,0,0
7-Apr-21,0,0,0,0,0
8-Apr-21,0,0,0,0,0
9-Apr-21,0,0,0,0,0
10-Apr-21,0.02,0.1,0.22,0.2,0.1
11-Apr-21,0,0,0,0,0
12-Apr-21,0,0,0,0,0
13-Apr-21,0,0,0,0,0
14-Apr-21,0,0,0,0,0
15-Apr-21,0,0,0,0,0
16-Apr-21,0,0.1,0.16,0.2,11.2
17-Apr-21,0,0,0,0,0
18-Apr-21,0,0,0,0,0
19-Apr-21,0,0,0,0,0
20-Apr-21,0,0,0,0,0
21-Apr-21,0,0,0,0,0
22-Apr-21,0.001,0.1,0.15,0.2,8.4
23-Apr-21,0,0,0,0,0
24-Apr-21,0,0,0,0,0
25-Apr-21,0,0,0,0,0
26-Apr-21,0,0,0,0,0
27-Apr-21,0,0.1,0.14,0.2,8.2
28-Apr-21,0,0,0,0,0
29-Apr-21,0,0,0,0,0
30-Apr-21,0,0,0,0,0
1-May-21,0,0,0,0,0
2-May-21,0.027,0.1,0.02,0.2,0.1
3-May-21,0,0,0,0,0
4-May-21,0,0,0,0,0
5-May-21,0,0,0,0,0
6-May-21,0,0,0,0,0
7-May-21,0,0,0,0,0
8-May-21,0,0.1,0.02,0.2,0.1
9-May-21,0,0,0,0,0
10-May-21,0,0,0,0,0
11-May-21,0,0,0,0,0
12-May-21,0,0,0,0,0
13-May-21,0,0,0,0,0
14-May-21,0.001,0.1,0.02,0.2,9.5
15-May-21,0,0,0,0,0
16-May-21,0,0,0,0,0
17-May-21,0,0,0,0,0
18-May-21,0,0,0,0,0
19-May-21,0,0,0,0,0
20-May-21,0,0.1,0.02,0.2,0.1
21-May-21,0,0,0,0,0
22-May-21,0,0,0,0,0
23-May-21,0,0,0,0,0
24-May-21,0,0,0,0,0
25-May-21,0,0,0,0,0
26-May-21,0.001,0.1,0.02,0.2,11
27-May-21,0,0,0,0,0
28-May-21,0,0,0,0,0
29-May-21,0,0,0,0,0
30-May-21,0,0,0,0,0
31-May-21,0,0,0,0,0
1-Jun-21,0,0.1,0.02,0.2,0.1
2-Jun-21,0,0,0,0,0
3-Jun-21,0,0,0,0,0
4-Jun-21,0,0,0,0,0
5-Jun-21,0,0,0,0,0
6-Jun-21,0,0,0,0,0
7-Jun-21,0.001,0.1,0.02,0.2,0.1
8-Jun-21,0,0,0,0,0
9-Jun-21,0,0,0,0,0
10-Jun-21,0,0,0,0,0
11-Jun-21,0,0,0,0,0
12-Jun-21,0,0,0,0,0
13-Jun-21,0,0.1,0.02,0.2,13
14-Jun-21,0,0,0,0,0
15-Jun-21,0,0,0,0,0
16-Jun-21,0,0,0,0,0
17-Jun-21,0,0,0,0,0
18-Jun-21,0,0,0,0,0
19-Jun-21,0.001,0.1,0.02,0.2,0.1
20-Jun-21,0,0,0,0,0
21-Jun-21,0,0,0,0,0
22-Jun-21,0,0,0,0,0
23-Jun-21,0,0,0,0,0
24-Jun-21,0,0,0,0,0
25-Jun-21,0,0.1,0.02,0.2,11
26-Jun-21,0,0,0,0,0
27-Jun-21,0,0,0,0,0
28-Jun-21,0,0,0,0,0
29-Jun-21,0,0,0,0,0
30-Jun-21,0,0,0,0,0
1-Jul-21,0.001,0.1,0.02,0.2,0.1
2-Jul-21,0,0,0,0,0
3-Jul-21,0,0,0,0,0
4-Jul-21,0,0,0,0,0
5-Jul-21,0,0,0,0,0
6-Jul-21,0,0,0,0,0
7-Jul-21,0,0,0,0,0
8-Jul-21,0,0,0,0,0
9-Jul-21,0,0,0,0,0
10-Jul-21,0,0,0,0,0
11-Jul-21,0,0.1,0.16,1.6,0.1
12-Jul-21,0,0,0,0,0
13-Jul-21,0,0,0,0,0
14-Jul-21,0,0,0,0,0
15-Jul-21,0,0,0,0,0
16-Jul-21,0,0,0,0,0
17-Jul-21,0.001,0.1,0.02,0.2,12.4
18-Jul-21,0,0,0,0,0
19-Jul-21,0,0,0,0,0
20-Jul-21,0,0,0,0,0
21-Jul-21,0,0,0,0,0
22-Jul-21,0,0,0,0,0
23-Jul-21,0,0,0,0,0
24-Jul-21,0,0,0,0,0
25-Jul-21,0,0,0,0,0
26-Jul-21,0,0,0,0,0
27-Jul-21,0,0,0,0,0
28-Jul-21,0,0,0,0,0
29-Jul-21,0,0,0,0,0
30-Jul-21,0,0,0,0,0
31-Jul-21,0,0,0,0,0
1-Aug-21,0.001,0.1,0.02,2.2,0.1
2-Aug-21,0,0,0,0,0
3-Aug-21,0,0,0,0,0
4-Aug-21,0,0,0,0,0
5-Aug-21,0,0,0,0,0
6-Aug-21,0,0,0,0,0
7-Aug-21,0,0,0,0,0
8-Aug-21,0,0.1,0.02,0.2,0.1
9-Aug-21,0,0,0,0,0
10-Aug-21,0,0,0,0,0
11-Aug-21,0,0,0,0,0
12-Aug-21,0,0,0,0,0
13-Aug-21,0,0,0,0,0
14-Aug-21,0.001,0.1,0.02,0.2,13.2
15-Aug-21,0,0,0,0,0
16-Aug-21,0,0,0,0,0
17-Aug-21,0,0,0,0,0
18-Aug-21,0,0,0,0,0
19-Aug-21,0,0,0,0,0
20-Aug-21,0,0.1,0.02,0.2,7
21-Aug-21,0,0,0,0,0
22-Aug-21,0,0,0,0,0
23-Aug-21,0,0,0,0,0
24-Aug-21,0,0,0,0,0
25-Aug-21,0,0,0,0,0
26-Aug-21,0.001,0.1,0.02,2.4,0.1
27-Aug-21,0,0,0,0,0
28-Aug-21,0,0,0,0,0
29-Aug-21,0,0,0,0,0
30-Aug-21,0,0,0,0,0
31-Aug-21,0,0,0,0,0
1-Sep-21,0,0.1,0.02,0.2,0.1
2-Sep-21,0,0,0,0,0
3-Sep-21,0,0,0,0,0
4-Sep-21,0,0,0,0,0
5-Sep-21,0,0,0,0,0
6-Sep-21,0,0,0,0,0
7-Sep-21,0,0.3,0.22,0.2,0.1
8-Sep-21,0,0,0,0,0
9-Sep-21,0,0,0,0,0
10-Sep-21,0,0,0,0,0
11-Sep-21,0,0,0,0,0
12-Sep-21,0,0,0,0,0
13-Sep-21,0,0,0,0,0
14-Sep-21,0,0,0,0,0
15-Sep-21,0,0,0,0,0
16-Sep-21,0,0.3,0.17,7.1,24.2
17-Sep-21,0,0,0,0,0
18-Sep-21,0,0,0,0,0
19-Sep-21,0,0,0,0,0
20-Sep-21,0,0,0,0,0
21-Sep-21,0,0,0,0,0
22-Sep-21,0,0,0,0,0
23-Sep-21,0,0,0,0,0
24-Sep-21,0,0,0,0,0
25-Sep-21,0,0,0,0,0
26-Sep-21,0,0,0,0,0
27-Sep-21,0,0,0,0,0
28-Sep-21,0,0,0,0,0
29-Sep-21,0,0,0,0,0
30-Sep-21,0,0,0,0,0
1-Oct-21,0,0,0,0,0
2-Oct-21,0,0,0,0,0
3-Oct-21,0,0,0,0,0
4-Oct-21,0,0,0,0,0
5-Oct-21,0.001,0.3,0.08,0.2,0.1
6-Oct-21,0,0,0,0,0
7-Oct-21,0,0,0,0,0
8-Oct-21,0,0.1,0.05,0.2,0.1
9-Oct-21,0,0,0,0,0
10-Oct-21,0,0,0,0,0
11-Oct-21,0,0,0,0,0
12-Oct-21,0,0,0,0,0
13-Oct-21,0,0.1,0.06,0.2,0.1
14-Oct-21,0,0,0,0,0
15-Oct-21,0,0,0,0,0
16-Oct-21,0,0,0,0,0
17-Oct-21,0,0,0,0,0
18-Oct-21,0,0,0,0,0
19-Oct-21,0,0,0,0,0
20-Oct-21,0,0,0,0,0
21-Oct-21,0,0,0,0,0
22-Oct-21,0,0.1,0.1,0.2,0.1
23-Oct-21,0,0,0,0,0
24-Oct-21,0,0,0,0,0
25-Oct-21,0,0,0,0,0
26-Oct-21,0,0,0,0,0
27-Oct-21,0,0.3,0.07,0.2,10.9
28-Oct-21,0,0,0,0,0
29-Oct-21,0,0,0,0,0
30-Oct-21,0.022,0,0,0,0
31-Oct-21,0,0,0,0,0
1-Nov-21,0,0,0,0,0
2-Nov-21,0,0,0,0,0
3-Nov-21,0,0.15,0.54,1.5,8.2
4-Nov-21,0,0,0,0,0
5-Nov-21,0,0,0,0,0
6-Nov-21,0.001,0.15,0.03,3,4.6
7-Nov-21,0,0,0,0,0
8-Nov-21,0,0,0,0,0
9-Nov-21,0,0.15,0.44,3.9,0.5
10-Nov-21,0,0,0,0,0
11-Nov-21,0,0,0,0,0
12-Nov-21,0,0.15,0.02,1.3,7.8
13-Nov-21,0,0.15,0.04,2.2,0.5
14-Nov-21,0,0,0,0,0
15-Nov-21,0,0,0,0,0
16-Nov-21,0,0,0,0,0
17-Nov-21,0,0,0,0,0
18-Nov-21,0.001,0.15,0.02,1.3,0.5
19-Nov-21,0,0,0,0,0
20-Nov-21,0,0,0,0,0
21-Nov-21,0,0,0,0,0
22-Nov-21,0,0,0,0,0
23-Nov-21,0,0,0,0,0
24-Nov-21,0,0.1,0.03,1.3,0.5
25-Nov-21,0,0,0,0,0
26-Nov-21,0,0,0,0,0
27-Nov-21,0,0.1,0.02,0.2,8.2
28-Nov-21,0,0,0,0,0
29-Nov-21,0,0,0,0,0
30-Nov-21,0,0.1,0.02,0.2,15
1-Dec-21,0,0,0,0,0
2-Dec-21,0,0,0,0,0
3-Dec-21,0,0,0,0,0
4-Dec-21,0,0,0,0,0
5-Dec-21,0,0.1,0.05,0.2,0.5
6-Dec-21,0,0,0,0,0
7-Dec-21,0,0,0,0,0
8-Dec-21,0,0,0,0,0
9-Dec-21,0,0,0,0,0
10-Dec-21,0,0,0,0,0
11-Dec-21,0,0.3,0.02,0.2,9.6
12-Dec-21,0,0,0,0,0
13-Dec-21,0,0.3,0.02,0.2,10.7
14-Dec-21,0,0,0,0,0
15-Dec-21,0,0,0,0,0
16-Dec-21,0,0,0,0,0
17-Dec-21,0,0,0,0,0
18-Dec-21,0,0,0,0,0
19-Dec-21,0,0.3,0.02,0.2,0.5
20-Dec-21,0,0,0,0,0
21-Dec-21,0,0,0,0,0
22-Dec-21,0,0,0,0,0
23-Dec-21,0,0,0,0,0
24-Dec-21,0,0,0,0,0
25-Dec-21,0,0.15,0.02,3,10.7
26-Dec-21,0,0,0,0,0
27-Dec-21,0,0,0,0,0
28-Dec-21,0,0,0,0,0
29-Dec-21,0.001,0.15,0.02,2.7,0.5
30-Dec-21,0,0,0,0,0
31-Dec-21,0,0,0,0,0
