DAY,PM25,PM10,SO2,NO,NO2
12-Dec-18,27,37,#DIV/0!,79,51
13-Dec-18,32,47,#DIV/0!,86,55
14-Dec-18,45,68,#DIV/0!,143,54
15-Dec-18,16,40,#DIV/0!,70,51
16-Dec-18,18,31,#DIV/0!,39,48
17-Dec-18,24,39,#DIV/0!,97,50
18-Dec-18,10,18,#DIV/0!,27,34
19-Dec-18,12,18,#DIV/0!,23,29
20-Dec-18,23,31,#DIV/0!,51,39
21-Dec-18,43,58,#DIV/0!,102,51
22-Dec-18,50,73,#DIV/0!,165,46
23-Dec-18,35,51,#DIV/0!,214,61
24-Dec-18,52,74,#DIV/0!,184,54
25-Dec-18,16,23,#DIV/0!,33,34
26-Dec-18,12,18,#DIV/0!,9,24
27-Dec-18,19,28,#DIV/0!,44,47
28-Dec-18,36,48,#DIV/0!,89,53
29-Dec-18,59,81,#DIV/0!,144,50
30-Dec-18,19,28,#DIV/0!,36,46
31-Dec-18,21,28,#DIV/0!,20,38
1-Jan-19,10,13,#DIV/0!,5,20
2-Jan-19,32,40,#DIV/0!,68,45
3-Jan-19,23,31,#DIV/0!,28,36
4-Jan-19,18,22,#DIV/0!,48,43
5-Jan-19,16,23,#DIV/0!,17,36
6-Jan-19,15,20,#DIV/0!,14,36
7-Jan-19,12,18,#DIV/0!,22,37
8-Jan-19,38,45,#DIV/0!,49,36
9-Jan-19,58,81,#DIV/0!,117,47
10-Jan-19,10,20,#DIV/0!,12,37
11-Jan-19,16,27,#DIV/0!,46,54
12-Jan-19,12,14,#DIV/0!,18,39
13-Jan-19,26,37,#DIV/0!,26,42
14-Jan-19,36,51,#DIV/0!,89,55
15-Jan-19,12,22,#DIV/0!,13,30
16-Jan-19,13,22,#DIV/0!,80,42
17-Jan-19,39,66,#DIV/0!,194,67
18-Jan-19,36,63,#DIV/0!,192,67
19-Jan-19,44,71,#DIV/0!,155,62
20-Jan-19,19,39,#DIV/0!,62,49
21-Jan-19,35,57,#DIV/0!,91,50
22-Jan-19,25,43,#DIV/0!,66,43
23-Jan-19,13,36,#DIV/0!,29,40
24-Jan-19,11,25,#DIV/0!,21,41
25-Jan-19,42,136,#DIV/0!,12,35
26-Jan-19,15,24,#DIV/0!,20,37
27-Jan-19,31,41,#DIV/0!,54,45
28-Jan-19,42,62,#DIV/0!,107,44
29-Jan-19,16,51,#DIV/0!,11,35
30-Jan-19,24,65,#DIV/0!,31,46
31-Jan-19,12,24,#DIV/0!,33,41
1-Feb-19,19,29,#DIV/0!,80,52
2-Feb-19,42,0,#DIV/0!,143,52
3-Feb-19,37,0,#DIV/0!,87,49
4-Feb-19,22,0,#DIV/0!,62,52
5-Feb-19,20,0,#DIV/0!,15,43
6-Feb-19,16,0,#DIV/0!,27,50
7-Feb-19,10,19,#DIV/0!,16,31
8-Feb-19,11,17,#DIV/0!,24,41
9-Feb-19,25,34,#DIV/0!,58,51
10-Feb-19,51,64,#DIV/0!,83,45
11-Feb-19,21,33,#DIV/0!,23,49
12-Feb-19,13,25,#DIV/0!,20,40
13-Feb-19,8,12,#DIV/0!,15,30
14-Feb-19,10,14,#DIV/0!,9,27
15-Feb-19,8,13,#DIV/0!,17,35
16-Feb-19,12,18,#DIV/0!,10,29
