DAY,BENMEAN,BENMIN,BENMAX,BEN2O,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O,SO2MEAN,SO2MIN,SO2MAX,SO2O
29-Apr,4.095333333,0.658333333,8.549166667,1.8,1.261666667,0.629166667,1.75,0.6,59.63095238,7.666666667,145.7083333,39.8,35.99265873,73.9,145.7083333,79.5,15.70833333,5.25,27.91666667,21.7,7.773809524,2.458333333,18.875,4.4
30-Apr,2.222166667,0.858333333,3.75,1.5,0.785,0.316666667,1.45,0.5,36.21428571,6.833333333,75.66666667,37.8,20.19404762,35.4,75.66666667,64.4,21.44444444,2.541666667,49.875,18.2,7.422619048,2.041666667,15.79166667,4.1
1-May,1.832604167,0.6,4.533333333,0.9,0.804166667,0.254166667,1.6625,0.2,33.13690476,6.666666667,83.70833333,11.9,20.92906746,35.3,83.70833333,49.2,31.5,9.375,64.91666667,28.8,6.958333333,2,11.04166667,4.8
2-May,4.730373626,0.692083333,7.925714286,1.3,1.220833333,0.2375,2.3875,0.4,52.96402692,6.958333333,97.95652174,25.3,26.844397,34.4,97.95652174,62.7,22.62349034,5.782608696,46.125,22,7.25170068,2.083333333,13.58333333,5.6
3-May,3.69530754,0.45,7.665833333,0.6,1.001166667,0.575,1.616666667,0.1,56.67857143,19.08333333,113.3333333,7,31.81865079,67.2,113.3333333,32,18.13194444,8.25,31.83333333,37.6,7.178571429,2,11.58333333,4.2
4-May,5.594955357,2.41875,8.378333333,1.7,1.207133838,0.658333333,1.779166667,0.6,64.44047619,16.875,118.8333333,32.2,33.8546627,78.3,118.8333333,60.6,8.520833333,4.875,15.20833333,27.4,7.56547619,2.125,13.5,3.2
5-May,3.659428105,1.158823529,6.6375,2,1.161111111,0.658333333,1.479166667,0.7,66.18452381,22.79166667,109.125,36.4,33.49672619,64.5,109.125,78.4,12.33333333,5.333333333,20.25,24.7,7.583333333,2,14.33333333,3.4
6-May,3.891111111,2.733333333,5.43,2.6,0.875,0.616666667,1.391666667,0.8,50.55460663,16.41666667,71.25,58,23.53548999,61.8,71.25,86.9,18.73611111,9.541666667,27.29166667,13.5,6.791666667,2,10.04166667,4.6
7-May,5.623244048,3.695833333,7.707916667,1,1.030555556,0.2125,1.833333333,0.3,56.53571429,6.541666667,99.625,10,27.52261905,66.7,99.625,44.5,16.14583333,4.75,32.66666667,45,6.589285714,2.083333333,10.33333333,3.1
8-May,5.378952381,1.683333333,9.23625,1.9,1.156944444,0.3,1.754166667,0.6,65.41071429,10.66666667,118.125,33,32.8594246,77.5,118.125,73,17.3125,2.125,32.41666667,27.1,7.529761905,2.5,11.75,3.2
9-May,4.36725,0.354166667,8.674166667,2.5,0.982222222,0.383333333,1.658333333,0.9,57.04336735,3.25,116.9166667,47.2,30.11139456,87.6,116.9166667,96.7,14.40972222,1.625,32.83333333,13.6,7.172619048,2.041666667,13.625,4
10-May,3.768253205,0.645833333,7.32,2.6,1.051569264,0.341666667,1.658333333,0.8,55.58333333,6.166666667,99.91666667,34.8,27.4875,86.8,99.91666667,90.4,7.053571429,2.041666667,15.45833333,13.3,7.06547619,2,13.625,5.5
11-May,4.068349359,0.970833333,7.657916667,3,1.110119048,0.545833333,1.725,0.9,62.4047619,15.5,104.875,57.8,31.05079365,73.1,104.875,83.4,9.047619048,2.958333333,18.5,10.9,7.285714286,2,11.33333333,3.8
12-May,5.174416667,2.06,8.91875,3.4,1.294047619,0.579166667,1.966666667,0.9,76.73809524,31.20833333,119.3333333,61.4,38.5077381,60.2,119.3333333,89.2,10.91071429,3.416666667,31.08333333,11.8,6.946428571,2.083333333,10.58333333,4.4
13-May,6.654895833,2.783333333,11.87208333,5.4,1.473214286,0.991666667,2.225,1.4,90.19751082,56.58333333,170.5416667,101.7,53.72458514,78.2,170.5416667,104,11.81547619,2.333333333,26.25,4,7.726190476,2.125,11.83333333,5.9
