DAY,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O
17-Mar,0.52,0.23,0.96,0.80,13.08,1.96,24.42,4.00,31.60,15.08,49.67,20.00,54.01,45.54,70.67,64.00
18-Mar,0.42,0.23,0.85,0.90,8.47,1.21,23.50,19.00,27.17,15.75,58.88,35.00,61.13,33.58,85.67,51.00
19-Mar,0.42,0.22,0.80,0.60,7.81,1.29,22.54,1.00,34.43,16.63,55.38,17.00,61.32,48.42,91.21,73.00
20-Mar,0.56,0.22,0.82,1.00,15.78,1.17,35.50,20.00,38.73,20.71,65.08,40.00,52.82,28.96,87.71,49.00
21-Mar,0.54,0.22,0.91,0.80,15.24,1.21,44.96,7.00,32.27,17.75,56.33,42.00,55.80,7.54,103.17,62.00
22-Mar,0.46,0.24,0.65,0.40,10.23,1.25,24.67,1.00,33.23,18.21,57.29,29.00,66.06,38.54,97.79,69.00
23-Mar,0.40,0.29,0.58,0.30,6.30,1.08,20.88,6.00,35.59,17.75,45.63,33.00,69.13,44.04,103.79,44.00
24-Mar,0.44,0.23,0.72,0.40,9.34,1.00,26.67,3.00,38.52,18.42,55.17,21.00,69.99,41.71,104.17,41.00
25-Mar,0.49,0.26,0.78,0.40,10.54,1.17,31.54,1.00,31.31,8.63,62.13,6.00,66.54,46.54,91.75,61.00
26-Mar,0.49,0.27,0.98,0.40,10.94,2.91,27.21,1.00,24.40,6.29,40.58,13.00,61.41,47.71,83.83,49.00
27-Mar,0.50,0.29,0.84,0.30,9.66,3.09,18.17,2.00,22.07,14.04,32.33,20.00,59.67,45.38,71.50,45.00
28-Mar,0.44,0.24,0.67,0.50,6.78,1.17,22.75,5.00,25.47,5.21,33.13,18.00,62.40,31.63,96.83,51.00
29-Mar,0.51,0.33,0.80,0.60,16.82,1.33,41.46,4.00,24.04,7.46,45.79,21.00,62.83,39.29,105.25,46.00
30-Mar,0.51,0.23,0.78,0.70,14.51,1.38,38.67,19.00,27.16,14.79,40.87,29.00,64.58,36.63,110.75,47.00
31-Mar,0.41,0.23,0.75,0.70,7.63,1.00,35.63,15.00,32.05,7.25,58.70,23.00,70.45,35.58,107.29,72.00
1-Apr,0.36,0.19,0.61,0.50,6.61,1.71,28.21,1.00,24.82,5.63,45.04,17.00,73.27,35.17,91.04,75.00
2-Apr,0.43,0.24,0.61,0.60,9.14,2.13,31.88,1.00,26.90,13.08,51.79,13.00,64.66,38.08,99.25,76.00
3-Apr,0.44,0.21,0.58,0.50,9.25,1.00,23.25,2.00,35.18,13.04,49.13,23.00,65.42,39.79,106.96,59.00
4-Apr,0.41,0.22,0.56,0.20,6.06,1.04,9.88,1.00,34.63,14.25,52.33,11.00,64.68,47.00,96.79,70.00
