DAY,SO2MEAN,SO2MIN,SO2MAX,SO220,SO221,COMEAN,COMIN,COMAX,CO20,CO21,O3MEAN,O3MIN,O3MAX,OE20,O321,NOMEAN,NOMIN,NOMAX,NO20,NO21,N02MEAN,NO2MIN,NO2MAX,NO220,NO221,BENMEAN,BENMIN,BENMAX,BEN20,BEN21,e
25-Mar,6.2,5.1,8.2,2.1,3.1,1,0.6,1.6,0.1,0.6,16.6,11.9,24.4,48,45.6,59.2,37.3,121.5,2.5,8.9,85.4,66.9,116.2,12.9,36.7,3.9,2.1,7,0.5,0.7,
26-Mar,4.9,4.4,5.5,2.4,5.6,0.9,0.6,1.1,0.1,1.3,12.8,2.6,25.4,32.4,14,77.9,25.6,137.3,7.5,66.9,82,50.9,108.6,21.5,82,3.5,1.8,5.2,0.7,2.1,
27-Mar,5.7,3.5,9,2.6,4.2,0.8,0.2,1.4,0.3,1.3,21.5,4.9,48.2,22.5,10.3,55.6,14.6,108.4,32.2,54.3,67,41.1,91.9,38,89.9,1.7,1.3,2.2,1.2,2.5,
28-Mar,6.1,3.5,8.8,3.2,4.3,0.9,0.4,1.3,0.3,1.2,25.9,8,51.8,22.7,11.5,57,21.9,80.6,26.5,35.1,69.1,49.7,84.2,47.6,82.3,3.3,1.7,4.3,1.3,2.2,
29-Mar,6,5,7.5,7,4.4,1.4,1,2,0.3,1.5,21.4,3.6,46.8,21.9,10.4,73.1,17.2,137.8,19.7,87.1,78.5,38.7,96.8,49.1,86.5,5.6,4.2,7.4,1.5,3.5,
30-Mar,7.4,5.2,9.8,4.7,3,1.5,0.9,2,0.6,0.6,19.7,2.4,44,30.9,47,78.8,19,133.5,47.5,12.3,83.6,39.9,109.4,44.8,45.5,6.6,3.6,8.2,2.2,0.8,
31-Mar,6.6,3.1,9.7,3.1,2.9,1.3,0.4,2.1,0.2,0.7,26.6,2.5,60.6,52.8,36.9,69.5,16.2,143.9,8.3,17,68.8,47,88.4,44.5,49.5,5.6,1.6,8.2,1,0.8,
1-Apr,5.8,3,7.4,3,3.9,1,0.4,2,0.3,1,24.2,2.2,47.4,36.9,27.9,58,25.4,129.3,18.6,45.6,67.9,57.5,87.3,52.1,65.5,3.9,1.9,7.6,1.2,1.6,
2-Apr,5.5,2.6,7.8,3.6,7,1.3,1,1.7,0.3,2,17.8,2.3,43.3,39.4,2.5,69.8,14.4,106.9,17.8,123.6,79.8,44.2,102.2,51.5,97.1,5.3,4.5,6,1.1,4.6,
3-Apr,5.8,3.5,8.7,2.5,4.2,1.2,0.7,1.6,0.2,1.1,20.3,5.9,41.6,45,11.9,69.7,30.2,121.4,11,44,76.1,52.6,99.9,35.1,76.3,5.3,2.3,8,0.9,2.1,
4-Apr,7.6,4.5,14.9,2.8,3.6,1.5,1.3,1.6,0.1,0.7,10.6,2.3,17.8,49.9,19.5,87.8,49.8,122.2,4.4,23.7,96.1,73.5,111,22.1,53.5,6.7,5.5,8.8,0.7,1.3,
5-Apr,9.1,4.9,16.5,2.6,3.7,1.7,1.1,2.1,0.1,0.8,8.5,1.9,15.1,36.2,13.7,106.4,61.1,140.2,10.8,39.6,97.7,73.5,113.8,33.5,46.9,7.5,4.9,9.1,0.8,1.6,
6-Apr,8.3,4.5,12.5,2,4.7,1.4,0.6,2.2,0.2,1,12.2,2.4,23.4,46.9,15.2,77.9,19.7,139.7,14.4,45.5,78,37.1,110.7,46.5,60.6,6,3.1,8.8,1,1.9,
7-Apr,6.2,4.9,9.4,2,4.8,1.2,0.5,1.9,0.2,1.1,15.3,8.9,22.6,49.3,20.3,73.8,28.9,124.2,15.4,49.5,81.9,56.3,101.2,42.7,75.2,5.1,2.7,7.4,0.7,1.9,
8-Apr,5,3.7,6.8,2.4,3.8,0.7,0.2,1.2,0.2,0.9,22,4.6,45.4,64.1,24.3,48.1,8.8,68.4,6,36.5,71.2,35.8,91.3,36.6,65.6,2.9,1.3,4.1,0.6,1.5,
9-Apr,4.8,3,7.3,2.8,3.1,0.8,0.4,1.3,0.3,0.9,20.9,3.5,38.6,55.3,29.3,47.8,19.4,74.5,14.4,28,70.5,57.3,86.6,48.2,63.2,2.9,1.9,4.3,0.9,1.3,
10-Apr,6.4,2.9,10.1,3.1,3.3,0.9,0.6,1.2,0.6,0.9,13.5,4.7,35,37.3,32.4,63.5,42.5,88.5,34.8,25.2,79.2,64,102,68.8,63.9,3.8,2.6,6,1.6,1.3,
11-Apr,7.7,3.8,14.3,5,4.4,1.2,0.7,1.7,0.7,1.1,14,2.6,39.3,25,15.3,84.1,48.5,144.4,41.5,35,84,71.8,104.8,80.7,80.7,5.4,3.2,8.8,2.4,2,
12-Apr,8.6,5,14,2.5,4.5,1.5,1.3,1.7,0.3,1.5,7.5,2.2,20.3,63,5.3,100.6,78.9,133.3,6.1,81.5,94.1,76.9,107.2,41,101.7,6.7,5.6,8.8,1.2,3,
13-Apr,9.3,5.3,15.5,3,5.7,1.6,1,2.2,0.6,1.5,10.2,2.1,28.8,29.9,7.4,107,70.4,140.8,42.1,96,97.1,78.3,107.3,81.4,96.4,7.3,4.5,8.9,1.9,3.3,
14-Apr,10.3,5.4,16.2,8,5.4,1.8,1.2,2.7,0.6,1.5,6.4,2.8,12.3,40.6,3.4,113,90.7,153,50.2,89.7,95.2,73,110.6,71.5,96.8,8.1,5.5,11.4,2.2,3.1,
15-Apr,8.3,5.6,10.6,2.6,5.3,1,0.4,1.7,0.2,1.3,16.4,9.8,30.2,51.3,12,63.4,16,103.4,13.1,66.6,75.6,57.3,96.5,45.3,87.8,4.8,2.4,6.9,0.9,2.4,
16-Apr,7.1,4.3,9.8,2,2.9,1.1,0.6,1.8,0.2,0.6,14.3,3.1,27.4,45.5,43.6,63.2,25.3,118,7.7,13.5,75.5,46.4,98.8,33.3,45.4,4.8,2.4,6.5,0.7,0.9,
17-Apr,9.7,4,14.7,5.9,3.4,1.1,0.5,1.5,0.4,0.6,11.5,3.3,27.5,26.6,47.5,84.1,41.5,104.9,24.7,11.1,88.6,76.3,98.6,62.6,43.4,4.9,2,7.2,1.3,1,
